Cordelia Hotel is situated in Tbilisi, a 3-minute walk away from Saint Trinity Church.	Отель Cordelia расположен в Тбилиси, в 3 минутах ходьбы от Свято-Троицкого собора.
The French Partridge restaurant offers an à-la-carte menu, including tapas and traditional dishes with a modern twist.	В ресторане отеля French Partridge гостей обслуживают по меню. Здесь вам предложат тапас и традиционные блюда, приготовленные на современный манер.
You can enjoy city view.	Из апартаментов открывается вид на город.
The accommodation provides an equipped kitchen and a seating area.	Дом для отпуска располагает оборудованной кухней и гостиной зоной.
Ferienwohnungen Moosbrugger also includes a terrace.	Кроме того, в комплексе Ferienwohnungen Moosbrugger есть терраса.
Laundry and fax/photocopy services are available as well.	Кроме того, в отеле предоставляются прачечные услуги и услуги факса/ксерокопирования.
Guests can enjoy local dishes at the onsite restaurant.	В ресторане на территории гости смогут заказать блюда местной кухни.
At Apartment Casa Alpina you will find a garden.	На территории здания апартаментов Casa Alpina разбит сад.
The attached bathroom includes hot/cold shower facility, towels and free toiletries.	В собственной ванной комнате с горячим/холодным душем предоставляются полотенца и бесплатные туалетно-косметические принадлежности.
Decorated with white linens and wood furniture, all rooms include ironing facilities.	Каждый номер укомплектован белоснежным постельным бельем и обставлен деревянной мебелью.
The hotel is an ideal base for exploring the beautiful Copper Canyon region.	Отель является идеальной отправной точкой для изучения красивого региона Медного каньона.
Situated 5 minutes’ walk from Kristianstad Train Station, this property offers free Wi-Fi access and rooms with TVs and work desks. Kristianstad Theatre is a 2-minute walk away.	Этот отель типа "постель и завтрак" расположен в 5 минутах ходьбы от железнодорожного вокзала города Кристианстада и в 2 минутах ходьбы от городского театра. К услугам гостей номера с телевизором и рабочим столом, а также бесплатный Wi-Fi.
The nearest airport is Milan Linate Airport, 8 km from B&B La Terrazza Sul Quartiere Isola.	Расстояние от отеля La Terrazza Sul Quartiere Isola до аэропорта Милан Линате составляет 8 км.
Guests can relax in the outdoor hot tub or on the patio under the gazebo.	Также в распоряжении гостей отеля открытая гидромассажная ванна и беседка во внутреннем дворе.
There is a full kitchen with a microwave and an oven in this air-conditioned unit.	В вашем распоряжении полностью оборудованная кухня с микроволновой печью и плитой.
Other facilities offered include a tour desk, dry cleaning and a laundry.	В вашем распоряжении экскурсионное бюро, химчистка и прачечная.
The property offers free parking.	На территории обустроена бесплатная парковка.
The well-lit, spacious rooms with wood floors feature a balcony, flat-screen TV, air conditioning, seating area, wardrobe, minibar and private bathroom.	Просторные и хорошо освещенные номера отеля имеют деревянный пол и располагают балконом, телевизором с плоским экраном, кондиционером, гостиным уголком, шкафом для одежды, мини-баром и собственной ванной комнатой.
Guests of Inn La Cuesta are greeted by a 24-hour reception and the hotel provides free afternoon coffee, tea and cookies.	В отеле Inn La Cuesta работает круглосуточная стойка регистрации, а для гостей предлагается бесплатный послеобеденный кофе, чай и печенье.
Yevpatoriya is 30 km away and the Simferopol Airport is 80 km away.	Расстояние до города Евпатории составляет 30 км, а до аэропорта Симферополя — 80 км.
The chalet also provides free Wi-Fi internet access in the public areas, disability access and a ski locker.	Среди прочих удобств шале — бесплатный Wi-Fi в местах общего пользования и запирающиеся шкафчики для лыж. Шале подходят для гостей с ограниченными физическими возможностями.
The nearest metro station at Kobylisy, on line C, is set 500 metres from Hotel Libuše, and it offers connections towards Prague Main Train Station and the centre of the city.	Расстояние от отеля Libuše до ближайшей станции метро Kobylisy (линия С), от которой можно добраться до Центрального железнодорожного вокзала Праги и центра города, составляет 500 метров.
The spacious, soundproofed rooms feature carpeted floors and large windows.	Гостям предлагается размещение в просторных звукоизолированных номерах с ковровым покрытием и большими окнами.
The property is within a 10-minute walk of Piazza della Signoria square, Uffizi Gallery and Florence Cathedral.	Апартаменты находятся в 10 минутах ходьбы от площади Синьории, галереи Уффици и кафедрального собора Санта-Мария-дель-Фьоре.
There is a shared kitchen at the property.	Среди удобств общая кухня.
Zarzis Airport is 18 km away.	Аэропорт Зарзис находится в 18 км.
Located on top of a dune and commanding pretty sea views, this offers modern rooms with free Wi-Fi.	К услугам гостей этого отеля, расположенного на вершине дюны с прекрасным видом на море, современные номера с бесплатным Wi-Fi.
Shops and restaurants can be found within 1 km and the nearest city, Thisted, is in 20 km.	На расстоянии 1 км работает несколько магазинов и ресторанов, а ближайший город, Тистед, находится в 20 км.
It offers free parking and air-conditioned rooms with satellite TV and free Wi-Fi.	К услугам гостей бесплатная парковка и номера с кондиционером, спутниковым телевидением и бесплатным Wi-Fi.
Set in the Umbrian countryside, Castello Izzalini Todi Resort offers rustic-style apartments.	Загородный дом Castello Izzalini Todi Resort расположен в загородной местности Умбрии. В распоряжении гостей апартаменты в загородном стиле.
Hotel Parque Zabal is located 100 metres from Fusagasuga town centre.	Отель Parque Zabal расположен в 100 метрах от центра города Фусагасуга.
A good selection of restaurants is available in the surrounding area.	В окрестностях расположено множество ресторанов.
The beachfront restaurant serves delicious local and international dishes, and offers free Wi-Fi.	В прибрежном ресторане с бесплатным Wi-Fi подают блюда местной и интернациональной кухни.
All air-conditioned rooms include balcony, a flat-screen cable TV, a phone and a minibar.	Во всех номерах к услугам гостей кондиционер, балкон, телевизор с плоским экраном и кабельными каналами, телефон и мини-бар.
Free WiFi and private parking are also available.	Предоставляется бесплатный Wi-Fi и бесплатная частная парковка.
Featuring a bath or shower, the private bathroom also comes with a hairdryer.	В собственной ванной комнате с ванной или душем предоставляется фен.
There is a full kitchen with a microwave, refrigerator and an oven.	Кроме того, обустроена полностью оборудованная кухня с микроволновой печью, холодильником и духовым шкафом.
Rooms feature views of the swimming pool or the garden, while some also offer a private terrace.	Из окон номеров открывается вид на бассейн или сад, а в некоторых есть собственная терраса.
The nearest airport is Odessa International Airport, 13 km from the property.	Расстояние до международного аэропорта Одессы составляет 13 км.
You will enjoy the restaurant room of the camp park decorated in a nautical style.	Зал ресторана кемпинга оформлен в морском стиле.
It also includes a fridge-freezer and a coffee machine.	К услугам гостей холодильник с морозильной камерой и кофемашина.
Offering an outdoor pool and seasonal outdoor pool, Villa Rosanna is set in Colico in the Lombardy Region, 5 km from Piona Abbey.	Вилла Rosanna расположена в городе Колико, в регионе Ломбардия, в 5 км от аббатства Пиона. К услугам гостей открытый плавательный бассейн и открытый бассейн сезонного использования.
Simply furnished rooms at the guest house offer a fan and shared bathroom with shower facilities.	Гостям номеров, оформленных в лаконичном стиле, предоставляются вентилятор и общая ванная комната с душем.
The hotel can offer vegetarian alternatives and is happy to cater to any dietary requirements with prior request.	Кроме того, в отеле могут приготовить вегетарианские блюда и удовлетворить любые диетические потребности по предварительному запросу.
Bed linen is provided.	Гостям предоставляется постельное белье.
Free Wi-Fi and a flat-screen cable TV are included in all suites.	Во всех люксах в распоряжении гостей бесплатный WiFi и телевизор с 37-дюймовым плоским экраном и кабельными каналами.
A buffet breakfast is available in the hotel’s bright dining room, which features floor-to-ceiling windows.	В светлом обеденном зале отеля, с окнами от пола до потолка, подают завтрак "шведский стол".
Set in the pretty village of Kempsey, The Walter de Cantelupe Inn offers individually decorated, stylish rooms.	Отель типа «постель и завтрак» Walter de Cantelupe Inn расположен в красивой деревне Кемпси. К услугам гостей стильные номера с оригинальным оформлением.
Come and stay in the Hotel Castellina and take it easy in the modern and comfortable rooms.	Отдохните в современных комфортабельных номерах отеля Castellina.
Oristano is 46 km from Sa Lumenaria da Raimonda, while Nuoro is 38 km from the property.	Отель типа «постель и завтрак» Sa Lumenaria da Raimonda находится в 46 км от коммуны Ористано и в 38 км от коммуны Нуоро.
A TV is offered.	В распоряжении гостей телевизор.
At Residenza Ondanomala you will find a garden.	Помимо прочего, при комплексе Residenza Ondanomala разбит сад.
The historical centre of Le Pontet, home place to the Château de Fargues, is within easy reach.	Исторический центр Ле Понте, где расположен замок Шато-де-Фарг, находится в пределах легкой досягаемости.
Park Named after Anna Akhmatova is within a 5-minute walk of the property.	До парка имени Анны Ахматовой можно добраться пешком за 5 минут.
Jenbach can be reached with a unique steam cog railway.	До города Йенбах можно добраться, воспользовавшись уникальным фуникулером на паровой тяге.
Gästehaus Hugo offers a packed lunch service for guests wishing to explore the area.	Гостям, желающим осмотреть окрестности, предлагаются упакованные ланчи.
Campo de’ Fiori square, with its pubs and historic food market is 300 metres away.	На площади Кампо-де-Фьори (в 300 метрах) находятся бары и исторический продовольственный рынок.
The private bathroom is stocked with toiletries and a hairdryer.	В собственной ванной комнате предоставляются туалетно-косметические принадлежности и фен.
The accommodation will provide you with a TV and air conditioning.	Этот дом для отпуска располагает телевизором и кондиционером.
The property offers free parking.	Гостям предоставляется бесплатная парковка.
Featuring free WiFi, Easy Housing offers accommodation in Prague.	Хостел Easy Housing находится в Праге. К услугам гостей бесплатный Wi-Fi.
The shores of Lake Trasimeno can be reached in a 1-hour drive.	Поездка до берега озера Тразимено занимает 1 час.
The property offers free parking.	На территории обустроена бесплатная парковка.
Offering an outdoor pool and an indoor pool, Green Park Punta 2 offers self-catering accommodation 500 metres from Solanas beach area, 5 km from downtown Punta del Este.	Апарт-отель Green Park Punta 2 расположен в 500 метрах от пляжной зоны Соланас и в 5 км от центра города Пунта-дель-Эсте. К услугам гостей крытый и открытый бассейны и апартаменты с собственной кухней.
Staff at the 24-hour front desk readily assists guests with services such as bicycle and car rental, as well as laundry services which include dry cleaning.	Сотрудники круглосуточной стойки регистрации организуют прокат автомобилей и велосипедов, а также услуги прачечной и химчистки.
The classic-style apartment is air conditined and has satellite TV.	Апартаменты оформлены в классическом стиле и оборудованы кондиционером, также подключено спутниковое телевидение.
Bühl train Station is 7 km away, and there is a bus stop directly in front of the guest house.Strasbourg International Airport just 70 km away from the property and Stuttgart Airport is 73 km away.	Местные автобусы останавливаются напротив гостевого дома. Расстояние до железнодорожного вокзала Бюля составляет 7 км, до международного аэропорта Страсбург – 70 км, а до аэропорта Штутгарт – 73 км.
Each room at the Hansestern has a private bathroom and a TV with satellite channels.	Все номера отеля Hansestern располагают собственной ванной комнатой и телевизором со спутниковыми каналами.
Each room has a basin and there are 2 shared bathrooms with a shower for communal use.	Гости могут пользоваться 2 общими ванными комнатами с душем.
Nestled away amidst peaceful nature surroundings, Great Roots Forestry Spa Resort features a hot spring bath and elegantly furnished guestrooms with complimentary bottled water.	Курортный спа-отель Great Roots Forestry расположен в тихом природном месте. К услугам гостей горячие минеральные источники, изысканно оформленные номера и бесплатная бутилированная вода.
At Top Hotel you will find a 24-hour front desk, while there is a vending machine in the lobby.	Стойка регистрации отеля Top работает круглосуточно. В лобби отеля установлен автомат по продаже напитков и закусок.
Garretstown is 20 minutes’ drive from The Old Bank Town House.	Пляж Гарретстаун находится в 20 минутах езды от таунхауса The Old Вank.
Each unit features a flat-screen TV, a fridge, a microwave, a kettle and kitchenware.	Во всех номерах/домах имеются телевизор с плоским экраном, холодильник, микроволновая печь, чайник и кухонные принадлежности.
Hakuba Train Station is a 10-minute drive as well, and the Hakuba Onsen hot springs can be enjoyed a 40-minute drive away.	Также в 10 минутах езды расположен железнодорожный вокзал Хакуба, а в 40 минутах езды - горячие источники Хакуба Онсен.
Featuring modern Thai décor, guest rooms at the hotel have attached bathrooms with hot shower facilities. Each room is equipped with a TV and minibar.	Номера оформлены в современном тайском стиле и располагают ванной комнатой с горячим душем, телевизором и мини-баром.
This property features both free WiFi and free private parking.	На территории обустроена бесплатная частная парковка и предоставляется бесплатный Wi-Fi .
Tripoli Town is 19 km from the property, while Athens City is 160 km away.	Расстояние до Триполи составляет 19 км, а до Афин — 160 км.
The property is 26 km from Klaipėda and boasts views of the garden.	До Клайпеды 26 км. Из окон открывается вид на сад.
There is a flat-screen TV with Freeview and DVD player, hairdryer and tea and coffee facilities in all rooms.	Каждый из них снабжен телевизором с плоским экраном и бесплатными каналами, DVD-плеером, феном и принадлежностями для чая/кофе.
Augusto Cesar Sandino International Airport is 82 km away.	Международный аэропорт имени Аугусто Сесара Сандино находится в 82 км.
Hotel Oceano also boasts its own restaurant, specializing in seafood and international cuisine.	В ресторане отеля Oceano подают блюда из морепродуктов и блюда интернациональной кухни.
Guests can enjoy yoga class or traditional Thai massage, or book boat trips to nearby islands with the resort’s tour desk.	Гости могут посетить занятия йогой, заказать традиционный тайский массаж или организовать лодочную экскурсию на близлежащие острова в туристическом бюро отеля.
Apartment at the Tyrol Landhaus have a south-east facing balcony with mountain views, a kitchenette, seating area, satellite TV and a bathroom with a shower and toilet.	Апартаменты гостевого дома Tyrol Landhaus располагают балконом на юго-восточной стороне с видом на горы, мини-кухней, гостиным уголком, спутниковым телевидением и ванной комнатой с душем и туалетом.
Hotel Cicerone offers free parking, a restaurant and simply furnished rooms with TV and private bathroom.	К услугам гостей отеля Cicerone бесплатная парковка, ресторан и строго обставленные номера с телевизором и собственной ванной комнатой.
Atocha Train Station is 300 metres away, with a high-speed AVE service and links to Barajas Airport.	В 300 метрах от отеля находится железнодорожный вокзал Аточа, откуда отправляются скоростные поезда и поезда до аэропорта Барахас.
Offering free WiFi throughout, Palazzu is a self-catering apartment located in Patrimonio.	Апартаменты Palazzu с собственной кухней и бесплатным Wi-Fi находятся в поселке Патримонио.
The property offers free parking.	К услугам гостей бесплатная парковка.
The modern Apartament Lawendowy is located in the centre of Stronie Śląskie, 5 km from the Czarna Góra Ski Complex.	Современные апартаменты Lawendowy находятся в центре Строне-Сленске, в 5 км от горнолыжного комплекса Чарна-Гура.
Guests can enjoy sea and pool views.	Вы можете полюбоваться видом на море и бассейн.
This property offers free parking.	Кроме того, гостям предоставляется бесплатная парковка.
At The Ritz-Carlton Dubai, guests can experience varieties of themed restaurants ranging from flavors of Asia, Arabia and the Mediterranean including the new beach restaurant Palm Grill overlooking the Arabian Gulf.	В отеле The Ritz-Carlton Dubai работает несколько тематических ресторанов, в которых подаются блюда азиатской, арабской и средиземноморской кухни. Из нового пляжного ресторана Palm Grill открывается вид на Персидский залив.
Providing a living room with sofas and a fireplace, the accommodation also offers a terrace.	В шале имеется терраса и гостиная с диванами и камином.
Boat trips, island visits, snorkelling and diving can all be arranged locally.	На месте могут быть организованы морские прогулки, экскурсии на острова, подводное плавание и дайвинг.
It offers free Wi-Fi, a varied breakfast and rustic-style accommodation.	По утрам гостям подают разнообразный завтрак. Предоставляется бесплатный WiFi.
Laundry and fax/photocopy services are available at the front desk.	Услуги прачечной и факса/ксерокса предлагаются на стойке регистрации.
The bar serves drinks well into the evening.	В баре до позднего вечера предлагаются напитки.
The rooms here will provide you with a seating area.	Номера располагают гостиной зоной.
The Warth-Schröcken Ski Area, with a connection via a ski lift to Lech, is 25 km away.	Горнолыжный курорт Варт-Шрёккен с подъемником к Леху находится в 25 км от апартаментов.
Other facilities offered include a shared lounge with library.	Среди прочих удобств общий лаундж с библиотекой.
Located in Pantai Cenang, Chenang Purplish Guest Room d' Langkawi offers one-bedroom chalets with free WiFi and free private parking.	Комплекс Chenang Purplish Guest Room d'Langkawi расположен в курортном поселке Пантай-Сенанг. Гостям предоставляются шале с 1 спальней и бесплатным Wi-Fi, а также места на бесплатной частной парковке.
Dijon is a 45-minute drive away and Autun is a 35-minute drive from the hotel.	Поездка на машине до города Дижон займет 45 минут, а до города Отен — 35 минут.
The air-conditioned rooms of Sun Maritim feature carpeted floors and wooden furniture.	Гостям отеля Sun Maritim предлагаются номера с кондиционером, ковровым покрытием и деревянной мебелью.
A full kitchen and a private entrance are included.	Имеются плностью оборудованная кухня и отдельный вход.
A range of drinks is provided at the bar.	В баре представлен широкий ассортимент напитков.
The en suite bathroom comes with a shower and hairdryer.	В ванной комнате с душем предоставляется фен.
The heated guest rooms are fitted with electric blankets, a fridge and ironing equipment. The en suite bathroom offers free toiletries and a hairdryer.	В номерах с отоплением имеется холодильник, гладильные принадлежности, электрические одеяла, а также ванная комната с бесплатными туалетно-косметическими принадлежностями и феном.
You can engage in various activities, such as snorkeling, diving and cycling.	Рядом с домом имеются условия для различных видов активного отдыха, таких как сноркелинг, дайвинг и велосипедные прогулки.
The private bathroom includes free toiletries and a hairdryer.	В собственной ванной комнате предоставляется фен и бесплатные туалетно-косметические принадлежности.
Private parking is free of charge on site.	На территории обустроена бесплатная частная парковка.
Rooms come with a private bathroom offering shower facility and free toiletries.	Собственная ванная комната с душем укомплектована бесплатными туалетно-косметическими принадлежностями.
Guests can visit the Unicus’s top-class restaurant, offering delicious dishes by an award-winning chef.	Гости могут посетить первоклассный ресторан отеля Unicus, где предлагаются вкусные блюда от шеф-повара, удостоенного различных наград.
It provides free Wi-Fi access and parking.	К услугам гостей бесплатный Wi-Fi и парковка.
Ironing facilities can be provided.	Гостям предоставляются гладильные принадлежности.
At Spinnaker House you will find a courtyard garden.	В апартаментах Spinnaker House имеется сад во внутреннем дворике.
It offers free Wi-Fi, a restaurant and a tour desk which organises excursions to local attractions.	К услугам гостей бесплатный Wi-Fi, ресторан и туристическое бюро, где организуются экскурсии к местным достопримечательностям.
All rooms are decorated in a classic style, and fitted with tiled floors and wooden furnishings.	Номера с выложенными плиткой полами оформлены в классическом стиле и обставлены деревянной мебелью.
Bolzano, the provincial capital, is 12 km from the hotel.	Расстояние до города Больцано, административного центра одноименной провинции, составляет 12 км.
At Summerfield Green Bungalow you will facilities like grocery deliveries, a shared lounge and an ironing service are offered.	При бунгало Summerfield Green работает ресторан. Предусмотрены услуги доставки продуктов и глажки; обустроен общий лаундж.
Guests can reach Palm Jumeirah with a 10 minutes' drive.	Поездка до острова Палм-Джумейра занимает 10 минут.
Featuring a terrace with panoramic views and a garden, Colonica Fontisterni is a house set in Donnini.	Дом для отпуска Colonica Fontisterni расположен в городке Доннини. В распоряжении гостей сад и терраса с панорамным видом.
Only 100 metres from San Cristobal Hill, Apart Hotel Visandell offers self-catering apartments with free Wi-Fi and private terraces in Providencia. It features a swimming pool, and free parking is provided.	Апарт-отель Visandell расположен всего в 100 метрах от горы Сан-Кристобаль в коммуне Провиденсия. К услугам гостей апартаменты с собственной кухней, бесплатным WiFi и частной террасой, а также бассейн и бесплатная парковка.
Set in an 18th-century wine-making château, this B&B is 2 km from the centre of Saint-Estèphe, in the wine region of Médoc.	Этот отель типа "постель и завтрак" располагается в винодельческой усадьбе XVIII века, в 2 км от центра Сент-Эстеф, в винодельческом регионе Медок.
You can visit some of Galicia’s charming fishing towns such as Sanxenxo, Combarro or Marín, which are less than 30 minutes’ drive away.	Вы можете посетить один из очаровательных рыбацких городов Галичины, таких как Санхенхо, Комбарро или Марин. До них можно доехать за полчаса.
Guincho beach is a 10-minute drive from the Sea at Your Fingertips apartment, and guests will find Quinta da Marinha Golf Club 3.7 km away.	До пляжа Гиншу можно доехать от апартаментов Sea at Your Fingertips за 10 минут, а расстояние до гольф-клуба Quinta da Marinha составляет 3,7 км.
Slots At Sudbury Downs is 26 km away.	Расстояние до ипподрома Садбери Даунс составляет 26 км.
There is a sandbox in the yard.	Во дворе разбита песочница.
WiFi, continental breakfast and on-site parking are also offered.	Также в распоряжении гостей Wi-Fi, континентальный завтрак и парковка на территории.
Valgrande Pajares Ski Resort is 30 km from Hostel Albergue de Columbiello.	Горнолыжный курорт Вальгранде-Пахарес находится в 30 км от хостела Albergue de Columbiello.
The Quinta da Foz includes a spacious common living room with sofas, TV and board games.	В фермерском доме Quinta da Foz обустроена просторная общая гостиная с диванами, телевизором и настольными играми.
Extras include a fan.	Также в числе удобств вентилятор.
Guests can sing karaoke at the Golden Emperor International Club.	Гости могут попеть в караоке в клубе Golden Emperor International.
Tbilisi International Airport is 15 km from Lions Hotel.	Расстояние от отеля Lions до международного аэропорта Тбилиси составляет 15 км.
Hepburn Regional Park is a 25-minute drive away.	Поездка до регионального парка Хепберна занимает 25 минут.
Balcony On Sixth Lodge is just a 3-minute walk from Murray Bridge Railway Station.	Прогулка от мотеля Balcony On Sixth Lodge до железнодорожного вокзала Марри-Бридж займет всего 3 минуты ходьбы.
Guests can enjoy the on-site restaurant. Free private parking is available on site.	К услугам гостей терраса для загара, ресторан и бесплатная частная парковка.
Sun Moon Lake Hotel has a business centre with meeting facilities.	В числе удобств отеля Sun Moon Lake — бизнес-центр с помещениями для совещаний.
Guests can walk around the garden or the farm, which includes a vegetable garden, fruit trees, and animals.	Гости могут прогуляться по саду или ферме с огородом, фруктовыми деревьями и животными.
The pools are surrounded by loungers and there are large sun terraces.	Вокруг бассейнов расставлены шезлонги. Гости могут отдыхать на больших террасах для загара.
Batumi International Airport is 6.6 km from the property.	В 6,6 км расположен международный аэропорт Батуми.
Charming Studio Apartment is a self-catering accommodation located in Rio de Janeiro. Free WiFi access is available.	Апартаменты-студио Charming с собственной кухней и бесплатным Wi-Fi расположены в Рио-де-Жанейро.
A free shuttle service, a gift shop and safety deposit boxes are also available on site.	В числе удобств бесплатный трансфер, сувенирный магазин и сейф.
An iron, ironing board, coffee-tea-facilities and desk.	Также в распоряжении гостей утюг, гладильная доска, принадлежности для чая/кофе и письменный стол.
Known as the Golden Cape, the popular Zlatni Rat beach area is just 1.5 km from Bolbeach Guesthouse.	Расстояние от дома Bolbeach до популярной пляжной зоны «Золотой мыс» составляет 1,5 км.
Some come with a balcony and a mountain view.	В некоторых номерах есть балкон с видом на горы.
Free WiFi is available throughout the property.	На всей территории апартаментов предоставляется бесплатный Wi-Fi.
Akranes Rooms is located in Akranes, West Iceland, 42 km from Reykjavík.	Гостевой дом Akranes Rooms расположен в городе Акранес в Западной Исландии, в 42 км от Рейкьявика.
Within 400 m shops can be found.	Расстояние до магазинов составляет 400 м.
The property offers free parking and is approximately a 4-hour drive from Buenos Aires.	На территории обустроена бесплатная парковка. Поездка до Буэнос-Айреса занимает примерно 4 часа.
Staff at IH Hotels Firenze Business can provide tips on how to move in and around Florence.	Сотрудники отеля IH Firenze Business предоставят гостям информацию о том, как добраться до различных мест во Флоренции и ее окрестностях.
The guest house also offers bike hire and car hire.	Организуется прокат автомобилей и велосипедов.
Breakfast is served here in the summer months.	Кроме того, летом завтрак подаётся в саду.
Scenically located beside the Agger River in Lohmar, Aggerschlösschen offers a beer garden, beach bar, and free WiFi access.	Отель Aggerschlösschen расположен в живописном месте у реки Аггер в городе Ломар. К услугам гостей пивной сад и пляжный бар. На территории работает бесплатный Wi-Fi.
Airport shuttle can be arranged at a surcharge.	За дополнительную плату может быть организован трансфер от/до аэропорта.
Plečnik house museum is 300 meters away.	До дома-музея Плечника — 300 м.
Chenonceau Chateau is 22 minutes by car and Tours is a 31-minute drive.	До замка Шенонсо можно доехать на машине за 22 минуты, а до Тура — за 31 минуту.
It offers comfortable accommodation with free Wi-Fi and a private balcony.	Гостям предлагаются комфортабельные номера с бесплатным Wi-Fi и балконом.
There are 4 restaurants with special menus for children.	Работают 4 ресторана со специальными меню для детей.
Ramajal Rural is in the countryside in the Las Hurdes region of Extremadura.	Комплекс апартаментов Ramajal Rural находится в загородной местности района Лас-Урдес автономии Эстремадура.
The Lincolnshire Oak is surrounded by nearly 1.5 acres of grounds and gardens and offers traditional quality, comfort and value.	Отель Lincolnshire Oak окружен собственной территорией и садами площадью 0,6 га. Гостей отеля ожидает традиционное качество, комфорт и выгодные цены.
It is a 5-minute walk from Monte-Carlo’s Casino and a 10-minute walk from the beach.	Апарт-отель расположен в 5 минутах ходьбы от казино Монте-Карло и в 10 минутах ходьбы от пляжа.
Uzhgorod Castle is 1.2 km from the hotel, and Uzhgorod Drama Theater is a 15-minute walk away.	Ужгородский замок находится в 1,2 км, а прогулка до драматического театра Ужгорода займет 15 минут.
You will find a 24-hour front desk with luggage storage and currency exchange services at the property.	В распоряжении гостей круглосуточная стойка регистрации, камера хранения багажа и пункт обмена валюты.
Spacious, elegant rooms with free Wi-Fi and city views are offered here.	Гостей ожидают просторные, элегантные номера с бесплатным Wi-Fi и видом на город.
Guests enjoy good transport links around town.	В этом районе налажено хорошее транспортное сообщение по городу.
Every room is equipped with a private bathroom. Extras include free toiletries and a hair dryer.	В числе удобств собственная ванная комната с феном и бесплатными туалетно-косметическими принадлежностями.
Astali Hotel is situated only 100 metres from Rethymno’s beach and 200 metres from the Old Town.	Отель Astali расположен всего в 100 метрах от пляжа Ретимно и в 200 метрах от Старого города.
Scenic views and international food can be enjoyed at the hotel’s roof-top restaurant.	В ресторане на крыше отеля, откуда открывается живописный вид, подают блюда интернациональной кухни.
A variety of taverns and bars lies within walking distance.	Прогулка до разнообразных таверн и баров занимает лишь несколько минут.
Skiathos Airport is located 1.5 km from the property.	Расстояние до Национального аэропорта остров Скиатос составляет 1,5 км.
The Millstätter See Golf Course and the Goldeck Ski Area are both 7 km away.	Апартаменты находятся в 7 км от поля для гольфа Millstätter See и горнолыжного курорта Гольдек.
Transfers from and to the airports are available for an additional charge.	Трансфер от/до аэропортов предоставляется за дополнительную плату.
Hollywood Restaurant serves Chinese, Indian and Continental dishes.	В ресторане Hollywood подают блюда китайской, индийской и континентальной кухни.
The Marmara serves buffet breakfast in its main restaurant.	В главном ресторане этого курортного отеля подается завтрак «шведский стол».
Just 200 metres from the beach, Pensione Villa Elena is located in Forte dei Marmi.	Гостевой дом Villa Elena находится в небольшом городе Форте-дей-Марми, всего в 200 метрах от пляжа.
The India Gate is 16 km while Red Fort is 22 km.	В 16 км находятся Ворота Индии, а в 22 км — Красный форт.
Villa Julia features free WiFi .	Гостям виллы Julia предоставляется бесплатный Wi-Fi.
The nearest airport is Chania International Airport, 27 km from the property.	Расстояние до международного аэропорта Ханьи, ближайшего к комплексу, составляет 27 км.
Laleli Tram Stop is 150 metres from the hotel, and it is just 2 stops from Sultanahmet Tram Stop.	Трамвайная остановка Laleli находится в 150 метрах от отеля. Отсюда всего 2 остановки до трамвайной остановки Sultanahmet.
Located in Kota Kinabalu, Dorcas Service Apartment (Marina Court) offers an outdoor swimming pool and a fitness centre.	Апартаменты Dorcas Service Apartment (Marina Court) находятся в Кота-Кинабалу и располагают открытым бассейном и фитнес-центром.
Bremen Airport is 4 km away.	Расстояние до аэропорта Бремена составляет 4 км.
Set on the 1st floor of an Austro-Hungarian style villa in Opatija, Apartment Milani is bright and spacious and offers a terrace and free WiFi access.	Просторные и светлые апартаменты Milani с террасой и бесплатным WiFi расположены в городе Опатия, на 2 этаже здания виллы, выполненной в Австро-Венгерском стиле.
